,CIK,Charter_ID,Date_Coded,Date_Filing,CompanyName,State,FullRestate,EntityType,MultComm,MultCommUnequal,MultPreferred,PreferredVote,PreferredVoteLimited,BlankCheck1,BustBankSHVote,BustBankBoD,ReallocateComPref,UnequalVote,WCterm,WCCond,WCProhibit,SMTerm,SMCond,SMProhibit,StaggeredBd,StaggeredBdPhaseOut,CumulativeVoting,CharterSupMaj,MergerSupMaj,CorpOppDirector,CorpOppOfficer,CorpOppSH,Directors102b7,Officers102b7,IndemnityDirector,IndemnityOfficer,AdvancementDirector,AdvancementOfficer,InsuranceDirector,InsuranceOfficer
40,1002114,1002114A20050404,2005-04-04,2005-04-05,PIXAR  CA,CA,N,Corp,N,,Y,N,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,
41,1002225,1002225A20100602,2000-06-13,2001-03-12,ADVENT SOFTWARE INC  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
42,1002225,1002225B20100602,2010-06-02,2010-06-08,ADVENT SOFTWARE INC  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,N,,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
43,1002579,1002579A19970519,1995-10-20,1998-02-20,EXTENDED STAY AMERICA INC,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
44,1002579,1002579B19970519,1997-05-19,1998-02-20,EXTENDED STAY AMERICA INC,DE,N,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
45,1002637,1002637A20070510,1996-05-10,1996-06-20,MILLENNIUM PHARMACEUTICALS INC,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
46,1002637,1002637B20070510,2000-04-12,2007-05-10,MILLENNIUM PHARMACEUTICALS INC,DE,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
47,1002637,1002637C20070510,2001-04-05,2007-05-10,MILLENNIUM PHARMACEUTICALS INC,DE,N,Corp,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
48,1002637,1002637D20070510,2007-05-10,2007-05-10,MILLENNIUM PHARMACEUTICALS INC,DE,N,Corp,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,Y,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
49,1002663,1002663A19951115,1995-11-15,2002-01-14,PHOTON DYNAMICS INC,CA,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
50,1002910,1002910A20170628,1994-11-30,1995-03-31,AMEREN CORP,MO,Y,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
51,1002910,1002910B20170628,1995-06-02,1997-03-28,AMEREN CORP,MO,Y,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
52,1002910,1002910C20170628,1998-05-26,1998-08-14,AMEREN CORP,MO,N,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
53,1002910,1002910D20170628,2000-06-05,2000-09-15,AMEREN CORP,MO,N,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
54,1002910,1002910E20170628,2008-11-24,2008-11-26,AMEREN CORP,MO,N,,N,,Y,Y,Y,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
55,1002910,1002910F20170628,2009-03-02,2009-03-02,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
56,1002910,1002910G20170628,2009-04-17,2009-04-17,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
57,1002910,1002910H20170628,2009-06-30,2009-07-17,AMEREN CORP,MO,Y,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
58,1002910,1002910I20170628,2011-01-14,2011-01-14,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
59,1002910,1002910I20170628,2011-01-14,2011-01-14,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
60,1002910,1002910I20170628,2011-01-14,2011-01-14,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
61,1002910,1002910I20170628,2011-01-14,2011-01-14,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
62,1002910,1002910M20170628,2011-07-13,2011-07-13,AMEREN CORP,MO,N,,N,,Y,Y,N,Y,N,N,N,N,N,,,N,,,N,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
63,1002910,1002910N20170628,2014-05-12,2014-05-12,AMEREN CORP,MO,Y,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
64,1002910,1002910O20170628,2017-06-28,2017-06-28,AMEREN CORP,MO,Y,,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
65,1003022,1003022A20090226,2001-04-02,2001-04-02,ZORAN CORP  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
66,1003022,1003022B20090226,2007-04-19,2007-04-19,ZORAN CORP  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
67,1003022,1003022C20090226,2009-02-26,2009-02-26,ZORAN CORP  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
68,1003124,1003124A20060217,1996-07-16,1996-07-16,PHARMACEUTICAL PRODUCT DEVELOPMENT INC,NC,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
69,1003124,1003124A20060217,1996-07-16,1996-07-16,PHARMACEUTICAL PRODUCT DEVELOPMENT INC,NC,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
70,1003124,1003124C20060217,2006-02-17,2006-02-09,PHARMACEUTICAL PRODUCT DEVELOPMENT INC,NC,N,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
71,100331,100331A20031021,1988-05-17,2002-03-04,21ST CENTURY INSURANCE GROUP,CA,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
72,100331,100331B20031021,1991-05-28,2002-03-04,21ST CENTURY INSURANCE GROUP,CA,N,Corp,N,,Y,,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
73,100331,100331C20031021,1994-12-15,2002-03-04,21ST CENTURY INSURANCE GROUP,CA,N,Corp,N,,Y,,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
74,100331,100331D20031021,1999-09-09,2002-03-04,21ST CENTURY INSURANCE GROUP,CA,N,Corp,N,,Y,,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
75,100331,100331E20031021,2003-10-21,2003-11-13,21ST CENTURY INSURANCE GROUP,CA,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
76,1004434,1004434A20170614,1997-10-29,1997-10-29,AFFILIATED MANAGERS GROUP INC,DE,Y,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,Y,Y,N,,,N,,N,Partly,N,N,N,N,Y,N,N,N,N,N,N,N
77,1004434,1004434B20170614,2000-05-25,2005-11-16,AFFILIATED MANAGERS GROUP INC,DE,N,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,Y,Y,N,,,N,,N,Partly,N,N,N,N,Y,N,N,N,N,N,N,N
78,1004434,1004434C20170614,2006-05-31,2006-04-27,AFFILIATED MANAGERS GROUP INC,DE,N,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,Y,Y,N,,,N,,N,Partly,N,N,N,N,Y,N,N,N,N,N,N,N
79,1004434,1004434D20170614,2017-06-14,2017-08-03,AFFILIATED MANAGERS GROUP  INC,DE,N,Corp,Y,Y,Y,N,,Y,Y,N,N,N,Y,Y,Y,N,,,N,,N,Partly,N,N,N,N,Y,N,N,N,N,N,N,N
80,1004440,1004440A20180724,2008-07-18,2008-08-11,CONSTELLATION ENERGY GROUP INC,MD,N,Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1004440,1004440B20180724,2018-07-24,2018-07-27,CONSTELLATION ENERGY GROUP INC,MD,Y,Corp,N,,Y,N,,Y,N,Y,N,N,N,,,Y,Y,Y,Y,2008,Prohibit,N,N,N,N,N,Y,N,N,N,N,N,N,N
82,100493,100493A19981214,1998-12-14,1998-12-16,"TYSON FOODS, INC.",DE,Y,,Y,Y,N,N,,N,N,N,N,N,N,,,N,,,N,,Prohibit,N,N,N,N,N,Y,N,N,N,N,N,N,N
83,1004980,1004980A20190809,2019-08-09,2019-08-09,PG&E Corp,CA,Y,Corp,N,,Y,N,,Y,N,N,N,N,N,,,N,,,N,,Prohibit,N,N,N,N,N,Y,N,Allow,Allow,N,N,N,N
84,1004985,1004985A19981101,1996-02-26,1997-06-23,EARTHGRAINS CO  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
85,1004985,1004985A19981101,1996-02-26,1997-06-23,EARTHGRAINS CO  DE,DE,Y,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
86,1004985,1004985C19981101,1998-11-01,1999-06-28,EARTHGRAINS CO  DE,DE,N,Corp,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,N,N,N,N
87,1005414,1005414A20160322,1996-01-01,1996-01-03,TOYS R US INC,DE,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
88,1005414,1005414B20160322,2005-07-27,2005-07-27,TOYS R US INC,DE,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
89,1005414,1005414C20160322,2008-06-10,2008-06-10,TOYS R US INC,DE,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
90,1005414,1005414C20160322,2008-06-10,2008-06-10,TOYS R US INC,DE,Y,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
91,1005414,1005414E20160322,2015-06-03,2015-06-12,TOYS R US INC,DE,N,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
92,1005414,1005414F20160322,2016-03-22,2016-03-24,TOYS R US INC,DE,N,Corp,N,,N,N,,N,N,N,N,N,N,,,N,,,N,,N,N,N,N,N,N,Y,N,Require,Require,N,N,N,N
93,1005731,1005731A20110404,1996-02-07,2007-03-12,IDT CORP,DE,Y,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
94,1005731,1005731B20110404,2000-07-03,2007-03-12,IDT CORP,DE,N,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
95,1005731,1005731C20110404,2006-04-18,2007-03-12,IDT CORP,DE,N,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,Y,2006,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
96,1005731,1005731D20110404,2006-12-14,2007-03-12,IDT CORP,DE,N,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
97,1005731,1005731E20110404,2009-02-24,2009-02-25,IDT CORP,DE,Y,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
98,1005731,1005731F20110404,2011-04-04,2011-04-05,IDT CORP,DE,Y,Corp,Y,Y,Y,N,,Y,N,N,N,N,N,,,Y,Y,N,N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
99,1005757,1005757A19970529,1997-05-29,1997-08-14,CSG SYSTEMS INTERNATIONAL INC,DE,N,Corp,,,,,,,,,,,,,,,,,Y,,,Partly,,,,,,,,,,,,
100,1006240,1006240A20040226,1996-04-01,1996-07-23,ALCATEL-LUCENT USA INC.,DE,Y,,N,,Y,N,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
101,1006240,1006240B20040226,1999-05-13,1999-05-13,ALCATEL-LUCENT USA INC.,DE,Y,,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
102,1006240,1006240C20040226,2000-03-01,2000-03-01,ALCATEL-LUCENT USA INC.,DE,Y,,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
103,1006240,1006240D20040226,2004-02-26,2004-05-06,ALCATEL-LUCENT USA INC.,DE,N,,N,,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,2005,N,Partly,N,N,N,N,Y,N,Require,Require,Require,Require,Allow,Allow
104,100726,100726A20161026,1994-09-07,2004-09-17,UNIFI INC,NY,Y,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
105,100726,100726B20161026,2003-01-06,2004-09-17,UNIFI INC,NY,N,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
106,100726,100726C20161026,2003-07-23,2004-09-17,UNIFI INC,NY,N,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
107,100726,100726D20161026,2006-07-27,2006-07-31,UNIFI INC,NY,N,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
108,100726,100726E20161026,2010-11-03,2010-11-03,UNIFI INC,NY,N,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
109,100726,100726F20161026,2016-10-26,2016-10-31,UNIFI INC,NY,Y,Corp,N,,,,,,,,,,N,,,N,,,Y,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
110,1007330,1007330A20100119,2000-08-09,2000-08-09,"PRGX GLOBAL, INC.",GA,Y,Corp,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,Allow,N,N,N,N,N
111,1007330,1007330B20100119,2002-08-09,2002-08-09,"PRGX GLOBAL, INC.",GA,Y,Corp,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,Allow,N,N,N,N,N
112,1007330,1007330D20100119,2006-03-16,2006-03-21,"PRGX GLOBAL, INC.",GA,N,Corp,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,Allow,N,N,N,N,N
113,1007330,1007330E20100119,2006-08-11,2006-08-17,"PRGX GLOBAL, INC.",GA,Y,Corp,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,Allow,N,N,N,N,N
114,1007330,1007330F20100119,2010-01-19,2010-01-25,"PRGX GLOBAL, INC.",GA,N,Corp,N,,Y,Y,N,Y,N,N,N,N,N,,,Y,Y,N,Y,,N,N,N,N,N,N,Y,N,Allow,N,N,N,N,N
